cowntee_NA,cowntee_IN,cowntee_CO,cowntee_GE,cowntee__1,cowntee__2,cowntee_Sh,cowntee__3,popul_byco,popul_by_1,popul_by_2,popul_by_3,popul_by_4,popul_by_5,popul_by_6,popul_by_7,popul_by_8,popul_by_9,popul_b_10,popul_b_11,popul_b_12,popul_b_13,popul_b_14,popul_b_15,popul_b_16,popul_b_17,popul_b_18,popul_b_19,popul_b_20,popul_b_21,popul_b_22,popul_b_23,popul_b_24,popul_b_25,popul_b_26,popul_b_27,popul_b_28,popul_b_29,popul_b_30,popul_b_31,popul_b_32,popul_b_33,popul_b_34,popul_b_35,popul_b_36,popul_b_37,popul_b_38,popul_b_39,popul_b_40,popul_b_41,popul_b_42,popul_b_43,popul_b_44,popul_b_45,popul_b_46,popul_b_47,popul_b_48,popul_b_49,popul_b_50,popul_b_51,popul_b_52,popul_b_53,popul_b_54,popul_b_55,popul_b_56,popul_b_57,popul_b_58,popul_b_59
Chaves,+33.3616045,005,35005,-104.4698374,5,7.00975407075,1.52435440089,65459,17581,10048,37830,8479,5491,18889,9102,4557,18941,32600,2344,2620,2455,1683,1209,532,539,1215,2067,2095,1737,1923,1824,1967,1714,773,1346,589,871,1172,716,652,557,32859,2133,2901,1933,1512,868,440,433,1255,2024,2129,1877,1878,1759,2201,1909,933,1183,720,963,1304,954,748,802,5,35
Valencia,+34.7168404,061,35061,-106.8065821,61,2.62656507613,0.27227650139,75956,18184,12596,45176,8755,6686,22385,9429,5910,22791,38130,2271,2402,3096,1660,935,567,410,1554,2470,2257,2207,2316,2417,2571,2554,994,1539,685,1337,1657,966,627,638,37826,2057,2338,2752,1608,1038,570,326,1327,2234,2183,2394,1946,2339,2660,2669,1075,1624,966,1233,1757,1260,807,663,61,35
Rio Arriba,+36.5096687,039,35039,-106.6939829,39,6.47629670881,1.53624861308,39307,9318,7083,22906,4730,3814,11513,4588,3269,11393,19250,1224,1240,1278,846,488,381,182,602,1172,1116,971,1231,1147,1300,1225,918,660,504,717,815,462,424,347,20057,1404,1309,1237,780,528,194,186,781,1123,1140,1291,887,1182,1312,1494,512,883,747,680,710,577,642,458,39,35
San Miguel,+35.4768758,047,35047,-104.8035146,47,5.81092481892,1.21813978136,28034,5651,5536,16847,2696,2969,8261,2955,2567,8586,14108,671,596,1043,645,510,92,159,787,880,823,862,578,839,940,1078,344,694,508,363,721,501,227,247,13926,666,756,611,663,531,238,190,405,782,637,520,1062,800,932,1093,660,411,394,614,733,507,395,326,47,35
Catron,+33.9018135,003,35003,-108.3920974,3,5.42177742947,1.74962363586,3539,468,1364,1707,179,544,886,289,820,821,1930,3,57,115,114,0,9,0,84,76,38,33,32,48,126,235,34,106,126,153,255,145,48,93,1609,61,56,44,18,21,0,0,0,5,25,117,23,64,75,360,74,122,39,87,177,24,24,193,3,35
Sandoval,+35.6850734,043,35043,-106.8826177,43,5.21771224063,0.95828439452,140769,33663,23111,83995,16410,12557,42847,17253,10554,41148,68955,4004,4861,5209,3179,1733,912,872,2168,4232,4459,4001,4753,4322,4585,4865,1788,2458,1592,2306,3019,1838,1187,612,71814,3802,4369,5354,2885,1702,798,603,2359,4058,4590,4485,4709,4459,4768,5268,1890,3158,2310,2337,3126,2125,1282,1377,43,35
Santa Fe,+35.5137223,049,35049,-105.9664409,49,3.15520253197,0.49169642405,148917,28007,32763,88147,13963,17805,44805,14044,14958,43342,72344,3458,3960,4137,2489,1624,826,859,2373,4226,4441,4238,4296,4488,4899,5595,1992,3485,2527,3381,3997,2486,1370,1197,76573,3211,3967,4243,2542,1494,1048,697,2226,4048,4208,4138,4216,4636,5326,6305,2323,4140,2752,3812,4819,2873,1745,1804,49,35
Socorro,+33.9916142,053,35053,-106.9390026,53,5.70752178422,1.68057596599,17000,3923,3142,9935,1777,1673,4751,2146,1469,5184,8799,259,687,679,521,335,458,107,537,248,494,734,195,355,555,493,318,355,386,219,318,159,137,250,8201,331,717,581,148,283,60,122,228,449,298,425,607,471,626,678,184,320,296,362,372,183,125,335,53,35
Lincoln,+33.7409407,027,35027,-105.4490834,27,5.41391077555,1.21752532971,19482,3613,5399,10470,1960,2846,5448,1653,2553,5022,9228,408,445,570,230,251,78,73,285,392,455,441,464,380,620,750,305,528,422,439,610,424,395,263,10254,428,597,487,448,18,105,225,198,433,468,470,571,481,700,954,358,467,357,651,697,561,358,222,27,35
McKinley,+35.5737323,031,35031,-108.2553073,31,5.64925156491,1.40499236445,72849,21366,8412,43071,10547,4929,22215,10819,3483,20856,35158,2895,2968,3214,1742,1111,612,509,1606,2734,2413,2085,1963,2017,2079,1782,1008,937,559,434,1154,483,445,408,37691,2803,2874,3149,1721,1031,657,528,1509,2927,2321,1949,2360,2080,2416,2129,1039,1269,859,802,1139,810,752,567,31,35
Luna,+32.1844822,029,35029,-107.7466387,29,3.50800132122,0.73441616012,24264,6385,4994,12885,3278,2609,6357,3107,2385,6528,12020,904,889,843,471,347,266,97,525,732,789,451,693,599,709,627,330,363,350,363,583,470,353,266,12244,893,861,1030,494,291,222,151,447,638,646,683,511,633,682,794,294,365,327,480,638,506,407,251,29,35
Mora,+35.9828413,033,35033,-104.9218975,33,4.06750915820,0.50063992786,4563,852,1151,2560,401,695,1237,451,456,1323,2230,105,247,85,14,122,0,54,144,109,66,89,44,156,69,258,122,90,57,84,146,68,45,56,2333,149,56,82,114,69,0,1,42,218,89,118,50,144,231,128,91,56,108,94,214,141,109,29,33,35
Union,+36.4880853,059,35059,-103.4757229,59,4.55336694714,0.99778755141,4175,790,810,2575,435,461,977,355,349,1598,2302,128,161,39,27,0,50,47,107,168,265,219,148,151,112,236,43,52,38,72,85,20,91,43,1873,106,192,94,43,0,0,55,52,73,112,121,56,152,92,131,82,51,54,92,83,71,83,78,59,35
